id,question,answer
81fKX48RynL,Is there a hole for a camera?,Yes
81fKX48RynL,What does the pattern visually suggest the material could be?,Glitter
81fKX48RynL,What color hue forms a significant portion of the background pattern?,Teal
81fKX48RynL,How many large distinct shapes are visible in the pattern?,Many
81fKX48RynL,Does the pattern appear ordered or irregular?,Irregular
81fKX48RynL,What is a likely physical property of the case based on its appearance?,Rigid
712YNGdbpFL,What type of item is shown?,Case
712YNGdbpFL,What is the pattern on the case?,Flowers
712YNGdbpFL,What color is the main background of the case?,Black
712YNGdbpFL,Is this described as a back cover?,Yes
712YNGdbpFL,Is the case described as flexible?,Yes
712YNGdbpFL,What specific phone model is mentioned in the labels?,Oppo
712YNGdbpFL,Which brand is listed for the item?,Solimo
712YNGdbpFL,Does the case have a plain or designer look according to the labels?,Designer
712YNGdbpFL,What material is mentioned that makes it soft?,TPU
712YNGdbpFL,Is this case described as multicolor?,Yes
61n4r7ISPrL,What product category does this belong to?,Case
61n4r7ISPrL,How many main colors are on the case?,Two
61n4r7ISPrL,What object is pictured as the main design?,Headphones
61n4r7ISPrL,Is this case designed to cover the back of a phone?,Yes
61n4r7ISPrL,Does the case have only one color?,No
61n4r7ISPrL,Is the case likely made of a rigid substance?,No
61n4r7ISPrL,Is the headphone graphic probably applied via printing?,Printed
61n4r7ISPrL,Can this item be described as a fashion accessory?,Yes
61n4r7ISPrL,Is a lens cutout visible on the back?,Yes
61n4r7ISPrL,Is the design a simple geometric shape?,No
81lWS4Ho9NL,What is the brand name on the label?,365
81lWS4Ho9NL,Is the product shown bread?,Yes
81lWS4Ho9NL,Is the bread packaged in a clear bag?,Yes
81lWS4Ho9NL,"Is the text ""Multigrain"" visible on the label?",Yes
81lWS4Ho9NL,What color is the tie closing the bag?,Green
81lWS4Ho9NL,Is there a circular design on the label?,Yes
81lWS4Ho9NL,Does the label feature certification logos?,Yes
81lWS4Ho9NL,"Is the word ""Seed"" visible on the label?",Yes
81lWS4Ho9NL,Is the closure at the top of the bag a twist tie?,Yes
81lWS4Ho9NL,"Is the number ""365"" on the label?",Yes
61OwsbW3c-L,What type of connector is on the smaller plug?,Lightning
61OwsbW3c-L,What is the main color of the cable?,Rose
61OwsbW3c-L,What material is the cable braiding?,Nylon
61OwsbW3c-L,What company is associated with the brand?,Amazon
61OwsbW3c-L,Is the item new or renewed?,Renewed
61OwsbW3c-L,What official certification ensures compatibility with Apple devices?,MFi
61OwsbW3c-L,"Besides charging, what other primary function does this cable perform?",Data
61OwsbW3c-L,What specific type of connector is on the computer/charger end?,USB
61OwsbW3c-L,What Apple device line is frequently mentioned for compatibility?,iPhone
61OwsbW3c-L,What characteristic is enhanced by the nylon braiding?,Durability
713x72YSvmL,What kind of accessory is the main object?,Hanger
713x72YSvmL,What color is the mounting plate?,Black
713x72YSvmL,How many screws are shown?,Three
713x72YSvmL,What are the small white items?,Anchors
713x72YSvmL,Is this item used for playing music?,No
713x72YSvmL,What instrument part does the padded arm likely cradle?,Neck
713x72YSvmL,Is this accessory designed for horizontal mounting?,No
713x72YSvmL,What primary function does the padded arm provide besides support?,Protection
713x72YSvmL,Are the provided screws included in the kit?,Yes
713x72YSvmL,Is this object primarily for decoration or utility?,Utility
61IqJw6XdcL,What type of jewelry is shown?,Earrings
61IqJw6XdcL,What shape are the earring fronts?,Hexagon
61IqJw6XdcL,What month is associated with the birthstone?,April
61IqJw6XdcL,What color is the metal setting?,Gold
61IqJw6XdcL,Are these earrings suitable as a gift?,Yes
61IqJw6XdcL,How many small stones surround the large center stone on one earring?,Eight
61IqJw6XdcL,Is a collection name provided in the text?,Yes
61IqJw6XdcL,Can these earrings be bought through mail order?,Yes
61IqJw6XdcL,Does the text describe the style as simple?,No
61IqJw6XdcL,Are these earrings mentioned as suitable for weddings?,Yes
71v6eobsGnL,What color is the main storage container?,Grey
71v6eobsGnL,How many accessory bags are shown in the image?,Two
71v6eobsGnL,Does the tall bin have handles?,Yes
71v6eobsGnL,Is the item identified as a laundry basket in the text?,Yes
71v6eobsGnL,What feature allows the smaller bags to be closed?,Drawstring
71v6eobsGnL,What specific fabric is listed in the product description?,Oxford
71v6eobsGnL,"According to the text, is this product designed to be portable?",Yes
71v6eobsGnL,Does the description mention the ability to collapse the main container?,Yes
71v6eobsGnL,"Besides laundry, what type of non-clothing items are mentioned for storage?",Sundries
71v6eobsGnL,Is the storage capacity described as large?,Yes
71Ag28YYwlL,What object is shown in the image?,case
71Ag28YYwlL,What shape are the small patterns on the case?,heart
71Ag28YYwlL,What is the main color of the phone case?,black
71Ag28YYwlL,Are there any cutouts on the case?,yes
71Ag28YYwlL,Are all the small shapes the same color?,no
71Ag28YYwlL,How many distinct colors of hearts are visible?,four
71Ag28YYwlL,What type of material is the case described as in the metadata?,silicone
71Ag28YYwlL,What specific phone model is this case designed for according to the metadata?,vivo
71Ag28YYwlL,Is there a pattern in the background behind the hearts?,yes
71Ag28YYwlL,What brand is associated with this case in the metadata?,solimo
91cfqemKVKL,1 What type of furniture is shown?,1 Sofa
91cfqemKVKL,2 How many seat cushions does the sofa have?,2 Two
91cfqemKVKL,3 What color is the sofa?,3 Grey
91cfqemKVKL,4 Does the sofa have armrests?,4 Yes
91cfqemKVKL,5 How many back cushions are on the sofa?,5 Two
91cfqemKVKL,6 What material does the sofa appear to be made of?,6 Fabric
91cfqemKVKL,7 Are the sofa legs visible?,7 Yes
91cfqemKVKL,8 Does the sofa appear to be new?,8 Yes
91cfqemKVKL,9 Is the back of the sofa straight or curved near the top?,9 Curved
91cfqemKVKL,10 Does the sofa have distinct piping details?,10 Yes
61kiBsqb2RL,What is the main object shown?,Case
61kiBsqb2RL,What is the base color of the case?,Black
61kiBsqb2RL,What animal design is on the case?,Cat
61kiBsqb2RL,What word is visible in the design?,MEOW
61kiBsqb2RL,What shape represents the cat's nose?,Heart
61kiBsqb2RL,What type of cover is this for a phone?,Back
61kiBsqb2RL,Is the phone case described as flexible?,Yes
61kiBsqb2RL,What brand is associated with the case?,Solimo
61kiBsqb2RL,Is the design printed on the cover?,Yes
61kiBsqb2RL,Is the case compatible with the Mi Redmi Note 7?,Yes
81Bnf5a+9QL,What type of lights are shown?,String
81Bnf5a+9QL,Are the lights multi-colored?,Yes
81Bnf5a+9QL,Is there a book in the image?,Yes
81Bnf5a+9QL,Are the lights on or off?,On
81Bnf5a+9QL,What surface are the lights resting on?,Wood
81Bnf5a+9QL,What is the approximate color of the book spine?,Pink
81Bnf5a+9QL,Is the lighting in the image bright or dim?,Dim
81Bnf5a+9QL,Are the lights tangled?,Yes
81Bnf5a+9QL,What is the primary color of the wall background?,White
81Bnf5a+9QL,Is the background textured?,Yes
71kllg8Vi5L,What type of accessory is pictured?,Case
71kllg8Vi5L,What primary color is visible on the case?,Purple
71kllg8Vi5L,Does the list indicate compatibility with Samsung phones?,Yes
71kllg8Vi5L,Does the list indicate compatibility with Redmi phones?,Yes
71kllg8Vi5L,Is the pattern on the case oriented vertically?,Yes
71kllg8Vi5L,What kind of visual effect does the pattern on the case resemble?,Streaks
71kllg8Vi5L,What Amazon brand name is mentioned in the list?,Solimo
71kllg8Vi5L,"Besides 'case', what other common term for this item is in the list?",Cover
71kllg8Vi5L,Is there a visible cutout for a rear camera flash?,Yes
71kllg8Vi5L,Does the image show the front or back of the phone case?,Back
91lTxtjauGL,How many pairs of scissors are displayed in the image?,Two
91lTxtjauGL,What brand name is written on the blades of the scissors?,Solimo
91lTxtjauGL,What color are the handles of the scissors?,Black
91lTxtjauGL,What type of tool is shown in the image?,Scissors
91lTxtjauGL,What color are the blades of the scissors?,Silver
91lTxtjauGL,What texture is present on the blade edge near the handle?,Serrated
91lTxtjauGL,Is there a bone notch visible on the blade?,Yes
91lTxtjauGL,Which large online retailer's brand is Solimo?,Amazon
91lTxtjauGL,What is the main category of use suggested by the keywords?,Kitchen
91lTxtjauGL,"Based on the image, are the scissors presented individually or as a group?",Set
613USCuVx6L,What object is shown in the image?,Case
613USCuVx6L,What is the dominant color of the phone case?,Black
613USCuVx6L,What color is the silhouette design on the case?,Teal
613USCuVx6L,What human body part is visible in the design?,Head
613USCuVx6L,Is the design located on the top or bottom half of the case?,Bottom
613USCuVx6L,How many camera cutouts are visible on the back of the case?,One
613USCuVx6L,Does the silhouette face towards the left or the right?,Right
613USCuVx6L,Are there floral elements included in the design?,Yes
613USCuVx6L,Is the background of the case plain or patterned?,Plain
613USCuVx6L,Is the entire back of the case covered by the teal design?,No
71HX-OV1cjL,What type of item is pictured?,Case
71HX-OV1cjL,How many figures are illustrated on the case?,Two
71HX-OV1cjL,What color are the word bubbles?,Orange
71HX-OV1cjL,What color is the hair of the person on the right?,Red
71HX-OV1cjL,Is this a hard case?,Yes
71HX-OV1cjL,What is the complete word in the bubbles?,Matriana
71HX-OV1cjL,What color shirt is the character on the left wearing?,Green
71HX-OV1cjL,What headwear is the character on the right wearing?,Hat
71HX-OV1cjL,Which brand of phone is this case likely for?,LG
71HX-OV1cjL,Is the case indicated as 3D printed?,Yes
71yi2yMkbkL,What is the main color of the adapters?,Black
71yi2yMkbkL,How many adapters are visible in the image?,Four
71yi2yMkbkL,What brand name is printed on the items?,AmazonBasics
71yi2yMkbkL,Are these items cables or adapters?,Adapters
71yi2yMkbkL,What type of connector is on the lighter-colored end?,USB-C
71yi2yMkbkL,How many distinct types of ports are present on each adapter?,Two
71yi2yMkbkL,What is the general function of these items for electronic ports?,Adapting
71yi2yMkbkL,Can these adapters potentially be used for device charging?,Yes
71yi2yMkbkL,Are there any attached cables shown with these adapters?,No
71yi2yMkbkL,What specific data port type is on the black side?,USB-A
61BGp11YSsL,What colour is the phone case?,Pink
61BGp11YSsL,What animal is pictured on the phone case?,Cat
61BGp11YSsL,What shape are the cat's glasses?,Heart
61BGp11YSsL,What word is written below the cat?,MEOW
61BGp11YSsL,What is the animal wearing on its head?,Bow
61BGp11YSsL,Which phone brand is this case designed for?,Redmi
61BGp11YSsL,What date is shown on the phone's display?,April
61BGp11YSsL,Is the phone case transparent according to the image?,No
61BGp11YSsL,What pattern surrounds the main animal on the case?,Hearts
61BGp11YSsL,Is the depicted phone case part of the Solimo brand?,Yes
71ZpXJ00r-L,What type of product is this?,Shampoo
71ZpXJ00r-L,What is the main herb scent?,Mint
71ZpXJ00r-L,What number is in the brand logo?,365
71ZpXJ00r-L,What color is the bottle?,White
71ZpXJ00r-L,What color is the plant illustration?,Green
71ZpXJ00r-L,What abbreviation is used for ounces on the label?,FL
71ZpXJ00r-L,What word is written in capital letters in the main title?,SHAMPOO
71ZpXJ00r-L,How many individual leaves are clearly visible in the plant image?,Five
71ZpXJ00r-L,What ingredient is listed first in the small text description?,Glycine
71ZpXJ00r-L,What is the last word in the small text describing hair type?,Hair
71cj1O8cyuL,What is the main color of the sandal?,Silver
71cj1O8cyuL,What kind of footwear is pictured?,Sandal
71cj1O8cyuL,Does the sandal appear to have a heel?,No
71cj1O8cyuL,Who is the sandal intended for?,Women
71cj1O8cyuL,How many straps are on the top of the foot?,Three
71cj1O8cyuL,What text is printed on the insole?,Flavia
71cj1O8cyuL,What color is the bottom layer of the sole?,Brown
71cj1O8cyuL,Is the front strap a thong or a toe ring?,Ring
71cj1O8cyuL,What is the texture of the upper straps?,Shiny
71cj1O8cyuL,How many layers make up the sole from the side?,Two
71b4nq7cGmL,What object is in the image?,Case
71b4nq7cGmL,Is this a back cover or a flip cover?,Back
71b4nq7cGmL,What is the pattern on the phone case?,Lights
71b4nq7cGmL,Name one color of the lights.,Red
71b4nq7cGmL,What is the shape of the camera opening?,Rectangle
71b4nq7cGmL,What type of lights are shown in the pattern?,String
71b4nq7cGmL,Are the lights mostly in focus or out of focus?,Out
71b4nq7cGmL,How many prominent strands of lights are visible?,Two
71b4nq7cGmL,What is the main color of the lights on the left side?,Red
71b4nq7cGmL,What kind of atmosphere does the design suggest?,Festive
71PsFOrBc9L,What item is shown in the image?,Case
71PsFOrBc9L,What animal is depicted on the case?,Lion
71PsFOrBc9L,Is the design colorful?,Yes
71PsFOrBc9L,What shape is the cutout for the fingerprint sensor?,Circle
71PsFOrBc9L,Is there a cutout for cameras on the case?,Yes
71PsFOrBc9L,What is the dominant style of the artwork?,Geometric
71PsFOrBc9L,How many camera lenses does the cutout accommodate?,Two
71PsFOrBc9L,What color is visible around the edges of the design?,White
71PsFOrBc9L,Does the design appear to cover the whole back?,Yes
71PsFOrBc9L,What is the animal looking towards?,Forward
81Old0YmwcL,What is pictured?,Bulb
81Old0YmwcL,What brand is this product?,AmazonBasics
81Old0YmwcL,What is the wattage of the bulb?,35
81Old0YmwcL,Is this bulb for a vehicle?,Yes
81Old0YmwcL,Is this a Xenon lamp?,Yes
81Old0YmwcL,What is the specified base code?,PK32d-2
81Old0YmwcL,How many bulbs are in one package?,One
81Old0YmwcL,What gas creates the light?,Xenon
81Old0YmwcL,What component is integrated in the base?,Ballast
81Old0YmwcL,In what language is the description?,French
8178-W3z-5L,What main type of dessert is shown?,brownies
8178-W3z-5L,How many brownies are clearly visible?,Eight
8178-W3z-5L,What word is in the green circle?,Fresh
8178-W3z-5L,What number is in the size description on the label?,Two
8178-W3z-5L,What flavor does the color suggest?,Chocolate
8178-W3z-5L,"Does the label text specify ""real""?",No
8178-W3z-5L,Is this product likely found in a grocery section other than bakery or snack?,No
8178-W3z-5L,"Is ""kosher"" printed on the main label?",No
8178-W3z-5L,"Is ""fudge"" mentioned on the label?",No
8178-W3z-5L,Is this product meant to be baked before eating?,No
61VsKz3NwgL,What kind of jewelry is depicted?,Earrings
61VsKz3NwgL,How many earrings are shown?,Two
61VsKz3NwgL,What type of stone is in the earrings?,Diamond
61VsKz3NwgL,What color is the metal setting?,Silver
61VsKz3NwgL,How many prongs are holding one of the stones?,Six
61VsKz3NwgL,What style of earring back is visible?,Post
61VsKz3NwgL,What is the shape of the main gemstone?,Round
61VsKz3NwgL,Are these earrings designed for pierced ears?,Yes
61VsKz3NwgL,How would you classify the setting style?,Prong
61VsKz3NwgL,Are the earrings shown oriented identically?,No
81PyPfEdhoL,What is the main item in the image?,case
81PyPfEdhoL,What letter is on the case?,J
81PyPfEdhoL,What material does the case look like?,denim
81PyPfEdhoL,What color is the letter?,black
81PyPfEdhoL,What color is the strip above the denim part?,blue
81PyPfEdhoL,What brand is mentioned in the text for this type of product?,Solimo
81PyPfEdhoL,What type of device is this case for?,phone
81PyPfEdhoL,Is the case depicted as a front cover or a back cover?,back
81PyPfEdhoL,Does the image show a plain pattern or a pattern with a specific design element?,design
81PyPfEdhoL,What general category does this product fall under based on the text?,case
A1clguJEaaL,What item is draped over the chair?,Blanket
A1clguJEaaL,Is the item also known as a throw?,Throw
A1clguJEaaL,What color is the blanket?,Pink
A1clguJEaaL,Is the item a type of cover?,Cover
A1clguJEaaL,Is the item part of bedding?,Bedding
A1clguJEaaL,Is a machine used for cleaning this item?,Machine
A1clguJEaaL,What is the material of the floor?,Wood
A1clguJEaaL,Are the stripes on the blanket horizontal or vertical?,Horizontal
A1clguJEaaL,How many prominent light stripe bands are visible?,Six
A1clguJEaaL,Is the furniture item a bed?,No
61AiSHc02PL,What product is shown in the jars?,Marmalade
61AiSHc02PL,What is the first word of the brand name?,Happy
61AiSHc02PL,How many jars are visible in the image?,Two
61AiSHc02PL,What color are the lids of the jars?,Black
61AiSHc02PL,"Besides bergamot, what other fruit is mentioned on the label?",Orange
61AiSHc02PL,What is the weight of one jar in grams?,530
61AiSHc02PL,"According to the label, is this only orange marmalade?",No
61AiSHc02PL,Is this marmalade described as gluten-free in the provided information?,Yes
61AiSHc02PL,Is this marmalade described as vegan in the provided information?,Yes
61AiSHc02PL,"Based on the provided information, what product category does this belong to?",Grocery
A19Bg4DiwfL,What is the main color of the mat's surface?,Gray
A19Bg4DiwfL,What color are the edges of the mat?,Orange
A19Bg4DiwfL,Is the mat rectangular or circular?,Rectangular
A19Bg4DiwfL,Does the mat have a patterned surface?,Yes
A19Bg4DiwfL,Is the item pictured a mat or a flag?,Mat
A19Bg4DiwfL,"Based on the visible texture, what functional property might the mat have?",Non-slip
A19Bg4DiwfL,Could this type of mat be used in a commercial kitchen?,Yes
A19Bg4DiwfL,Does the visible surface pattern consist of straight lines?,Yes
A19Bg4DiwfL,Is the border color significantly different from the main surface color?,Yes
A19Bg4DiwfL,Is the visible side of the mat the top or the bottom surface?,Top
71sEFgOpHHL,What object is shown in the image?,Case
71sEFgOpHHL,What shape is repeated in the pattern?,Circle
71sEFgOpHHL,What color are some of the large circles?,Yellow
71sEFgOpHHL,Is the case patterned or plain?,Patterned
71sEFgOpHHL,What part of a phone does this cover?,Back
71sEFgOpHHL,"According to the provided text, what type of case is mentioned?",Hard
71sEFgOpHHL,"Based on the provided text, which phone manufacturer is mentioned the most?",LG
71sEFgOpHHL,"The pattern appears to have a visual effect; based on the text, what word related to manufacturing is used?",Printed
71sEFgOpHHL,"Based on the text provided, what brand is suggested for this case?",LG
71sEFgOpHHL,What is another single word from the text that describes this object?,Cover
71Losy8n93L,What is this item?,Shoe
71Losy8n93L,What color is the shoe?,Black
71Losy8n93L,Does the shoe have stripes?,Yes
71Losy8n93L,Is the shoe open-toed?,No
71Losy8n93L,Where is the sole located?,Bottom
71Losy8n93L,What material appears to be used on the front of the shoe?,Mesh
71Losy8n93L,How many distinct color stripes are stacked on the side of the shoe?,Two
71Losy8n93L,Is the brand name visible on the tag?,No
71Losy8n93L,Is the shoe likely a boot?,No
71Losy8n93L,Are the stripes horizontal or vertical?,Horizontal
61xdgd7EyDL,What is written on the handle?,SHAVE
61xdgd7EyDL,What type of item is shown?,Razor
61xdgd7EyDL,What is the primary color of the razor handle?,Black
61xdgd7EyDL,Does the razor have a blade cartridge?,Yes
61xdgd7EyDL,Is the background white?,Yes
61xdgd7EyDL,How many colors are on the handle?,Multiple
61xdgd7EyDL,How many blades are visible in the cartridge?,Five
61xdgd7EyDL,What shape is the logo next to the text?,Oval
61xdgd7EyDL,Is the handle a solid or contoured design?,Contoured
61xdgd7EyDL,Does the image show a cartridge razor?,Yes
81CyZnDA3gL,What mineral is the main ingredient?,Magnesium
81CyZnDA3gL,How many tablets are in the bottle?,250
81CyZnDA3gL,What is the brand's number?,365
81CyZnDA3gL,What form is the supplement?,Tablets
81CyZnDA3gL,Is it labeled as a dietary supplement?,Yes
81CyZnDA3gL,What is the type of tablet?,Vegetarian
81CyZnDA3gL,What is mentioned about the absorption?,Enhanced
81CyZnDA3gL,What kind of mineral is it called on the label?,Essential
81CyZnDA3gL,What part of the body does it support?,Bones
81CyZnDA3gL,Does the label say it is chewable?,No
71OU2PjT-rL,What product is depicted in the image?,case
71OU2PjT-rL,What is the dominant color on the bottom part of the case?,red
71OU2PjT-rL,Does the phone case have a camera opening?,yes
71OU2PjT-rL,Is the design on the case abstract or photographic?,abstract
71OU2PjT-rL,Is this a mobile cover or a laptop cover?,mobile
71OU2PjT-rL,"Based on the visible texture, does the design appear smooth or raised?",raised
71OU2PjT-rL,"Which phone brand, explicitly listed in the provided keywords, does the camera cutout geometry most closely resemble for a likely fit?",Samsung
71OU2PjT-rL,"The keywords include ""hard case"". What does this imply about the case's rigidity?",hard
71OU2PjT-rL,Does the visible surface texture suggest this is a clear gel case?,no
71OU2PjT-rL,"The painting style on the case, characterized by thick application of paint, is commonly known by what artistic term?",impasto
71FYqiypxnL,What object is depicted?,Case
71FYqiypxnL,What material type is listed?,Silicone
71FYqiypxnL,Is the cover described as flexible?,Yes
71FYqiypxnL,What kind of cover is it?,Back
71FYqiypxnL,Does the design look textured?,Yes
71FYqiypxnL,Which phone brand is noted?,Nokia
71FYqiypxnL,What specific brand name is listed?,Solimo
71FYqiypxnL,The flag pattern suggests which country?,Russia
71FYqiypxnL,Is the texture of the design smooth?,No
71FYqiypxnL,Is the texture of the design rough?,Yes
71qa9wOSeKL,What footwear item is pictured?,Boot
71qa9wOSeKL,What primary color is the boot?,Brown
71qa9wOSeKL,Is a zipper visible?,Yes
71qa9wOSeKL,How many boots are shown?,One
71qa9wOSeKL,Does the boot have a heel?,Yes
71qa9wOSeKL,Is the upper material likely cuero?,Yes
71qa9wOSeKL,What color is the zipper pull?,Gold
71qa9wOSeKL,Is this considered a tall boot?,No
71qa9wOSeKL,Is the sole thin?,Yes
71qa9wOSeKL,Is the heel shape block?,Yes
71FONUmd29L,What product is shown?,Case
71FONUmd29L,What is the main background color?,Yellow
71FONUmd29L,What is the image on the case?,Shoes
71FONUmd29L,What kind of shoes are shown?,Sneakers
71FONUmd29L,What is one possible brand mentioned?,Others
71FONUmd29L,Is the image an illustration?,Yes
71FONUmd29L,Is the case described as hard?,Yes
71FONUmd29L,Is it specified for a Vivo phone?,Yes
71FONUmd29L,Is the case potentially 3D printed?,Yes
71FONUmd29L,Does the design fill most of the back?,Yes
91vaE2Bl5dL,What color are the dishes?,Blue
91vaE2Bl5dL,Are there any bowls in the image?,Yes
91vaE2Bl5dL,How many large plates are visible?,Two
91vaE2Bl5dL,What color is the background?,White
91vaE2Bl5dL,Are these items typically used in a kitchen?,Yes
91vaE2Bl5dL,How many total pieces of dinnerware are clearly visible?,Six
91vaE2Bl5dL,What is the texture on the blue part of the dishes like?,Mottled
91vaE2Bl5dL,What color is the inside of the smaller bowls?,White
91vaE2Bl5dL,Are the rims of the plates smooth?,No
91vaE2Bl5dL,"Compared to their width, are the bowls shallow or deep?",Deep
81kHNXaKAXL,What type of object is displayed in the image?,Clock
81kHNXaKAXL,What color is the outer frame of the clock?,Black
81kHNXaKAXL,How many hands are visible on the clock face?,Three
81kHNXaKAXL,What number is located at the very top of the clock?,Twelve
81kHNXaKAXL,What brand name is printed on the clock face?,Solimo
81kHNXaKAXL,The background pattern on the clock face mimics what natural material?,Wood
81kHNXaKAXL,What type of numbers are used on the clock face?,Arabic
81kHNXaKAXL,Which numeral is the hour hand pointing closest to?,One
81kHNXaKAXL,Is the texture of the clock face smooth or rough-looking?,Rough
81kHNXaKAXL,What is the overall shape of the clock?,Round
81xWk56keKL,What color are the dark sections of the blind?,Grey
81xWk56keKL,What is covering the window in the image?,Shade
81xWk56keKL,What object is the blind installed on?,Window
81xWk56keKL,How many dark horizontal segments are visible?,Eight
81xWk56keKL,Is the window frame white?,Yes
81xWk56keKL,"According to the metadata, what is the primary light-blocking function?",Blackout
81xWk56keKL,The blind uses layered fabric. What type of control does this provide over light transmission?,Variable
81xWk56keKL,What non-drilling installation method is mentioned in the text?,Stick
81xWk56keKL,How does this blind operate when being raised or lowered?,Rolls
81xWk56keKL,What aspect is adjusted by aligning the opaque and lighter layers?,Light
81TbjecgWSL,What is the main color?,Pink
81TbjecgWSL,What type of device is it?,Heater
81TbjecgWSL,Is the brand AmazonBasics?,Yes
81TbjecgWSL,What color is the front mesh?,Silver
81TbjecgWSL,Is it intended for a home?,Yes
81TbjecgWSL,What covers the heating element?,Mesh
81TbjecgWSL,Is the device likely portable?,Yes
81TbjecgWSL,Does it use power?,Yes
81TbjecgWSL,What does it produce?,Heat
81TbjecgWSL,Where might this sit?,Table
514OhzDqVtL,What type of product is shown in the image?,Case
514OhzDqVtL,What is the primary pattern on the phone case?,Geometric
514OhzDqVtL,What is the main color theme of the pattern?,Multi-colored
514OhzDqVtL,Does the case cover the back of the phone?,Yes
514OhzDqVtL,Is there a logo visible on the case?,Yes
514OhzDqVtL,Is this case likely described as 'printed'?,Yes
514OhzDqVtL,Does the design use a single color?,No
514OhzDqVtL,Is the pattern composed of squares?,No
514OhzDqVtL,Are there cutouts for phone features?,Yes
514OhzDqVtL,Is the case likely made of a rigid material?,No
71V4R6irp9L,What flavor is pictured?,Mint
71V4R6irp9L,What is the number in the brand?,365
71V4R6irp9L,Is the product organic?,Yes
71V4R6irp9L,What color is the lid?,Green
71V4R6irp9L,What is the last word for the type of food?,Cream
71V4R6irp9L,What is the third word in the brand name?,Value
71V4R6irp9L,What is the third word in the flavor name?,Chip
71V4R6irp9L,"What is the volume listed in quarts, spelled out?",One
71V4R6irp9L,What is the abbreviation on the organic seal?,USDA
71V4R6irp9L,What word in the entity list describes the retailer?,Whole
71c38SyaLcL,What type of shoe is pictured?,Pump
71c38SyaLcL,What color is the shoe?,Black
