id,question,answer,filename
81fKX48RynL,Are the colors on the case vibrant?,Yes,57/57626acc.jpg
81fKX48RynL,Is there a hole for a camera?,Yes,57/57626acc.jpg
81fKX48RynL,What does the pattern visually suggest the material could be?,Glitter,57/57626acc.jpg
81fKX48RynL,What color hue forms a significant portion of the background pattern?,Teal,57/57626acc.jpg
81fKX48RynL,How many large distinct shapes are visible in the pattern?,Many,57/57626acc.jpg
81fKX48RynL,Does the pattern appear ordered or irregular?,Irregular,57/57626acc.jpg
81fKX48RynL,What is a likely physical property of the case based on its appearance?,Rigid,57/57626acc.jpg
712YNGdbpFL,What type of item is shown?,Case,a6/a6ba24ce.jpg
712YNGdbpFL,What is the pattern on the case?,Flowers,a6/a6ba24ce.jpg
712YNGdbpFL,What color is the main background of the case?,Black,a6/a6ba24ce.jpg
712YNGdbpFL,Is this described as a back cover?,Yes,a6/a6ba24ce.jpg
712YNGdbpFL,Is the case described as flexible?,Yes,a6/a6ba24ce.jpg
712YNGdbpFL,What specific phone model is mentioned in the labels?,Oppo,a6/a6ba24ce.jpg
712YNGdbpFL,Which brand is listed for the item?,Solimo,a6/a6ba24ce.jpg
712YNGdbpFL,Does the case have a plain or designer look according to the labels?,Designer,a6/a6ba24ce.jpg
712YNGdbpFL,What material is mentioned that makes it soft?,TPU,a6/a6ba24ce.jpg
712YNGdbpFL,Is this case described as multicolor?,Yes,a6/a6ba24ce.jpg
61n4r7ISPrL,What product category does this belong to?,Case,aa/aa12cfb3.jpg
61n4r7ISPrL,How many main colors are on the case?,Two,aa/aa12cfb3.jpg
61n4r7ISPrL,What object is pictured as the main design?,Headphones,aa/aa12cfb3.jpg
61n4r7ISPrL,Is this case designed to cover the back of a phone?,Yes,aa/aa12cfb3.jpg
61n4r7ISPrL,Does the case have only one color?,No,aa/aa12cfb3.jpg
61n4r7ISPrL,Is the case likely made of a rigid substance?,No,aa/aa12cfb3.jpg
61n4r7ISPrL,Is the headphone graphic probably applied via printing?,Printed,aa/aa12cfb3.jpg
61n4r7ISPrL,Can this item be described as a fashion accessory?,Yes,aa/aa12cfb3.jpg
61n4r7ISPrL,Is a lens cutout visible on the back?,Yes,aa/aa12cfb3.jpg
61n4r7ISPrL,Is the design a simple geometric shape?,No,aa/aa12cfb3.jpg
81lWS4Ho9NL,What is the brand name on the label?,365,3b/3b3be156.jpg
81lWS4Ho9NL,Is the product shown bread?,Yes,3b/3b3be156.jpg
81lWS4Ho9NL,Is the bread packaged in a clear bag?,Yes,3b/3b3be156.jpg
81lWS4Ho9NL,"Is the text ""Multigrain"" visible on the label?",Yes,3b/3b3be156.jpg
81lWS4Ho9NL,What color is the tie closing the bag?,Green,3b/3b3be156.jpg
81lWS4Ho9NL,Is there a circular design on the label?,Yes,3b/3b3be156.jpg
81lWS4Ho9NL,Does the label feature certification logos?,Yes,3b/3b3be156.jpg
81lWS4Ho9NL,"Is the word ""Seed"" visible on the label?",Yes,3b/3b3be156.jpg
81lWS4Ho9NL,Is the closure at the top of the bag a twist tie?,Yes,3b/3b3be156.jpg
81lWS4Ho9NL,"Is the number ""365"" on the label?",Yes,3b/3b3be156.jpg
61OwsbW3c-L,What type of connector is on the smaller plug?,Lightning,9a/9a7dc067.jpg
61OwsbW3c-L,What is the main color of the cable?,Rose,9a/9a7dc067.jpg
61OwsbW3c-L,What material is the cable braiding?,Nylon,9a/9a7dc067.jpg
61OwsbW3c-L,What company is associated with the brand?,Amazon,9a/9a7dc067.jpg
61OwsbW3c-L,Is the item new or renewed?,Renewed,9a/9a7dc067.jpg
61OwsbW3c-L,What official certification ensures compatibility with Apple devices?,MFi,9a/9a7dc067.jpg
61OwsbW3c-L,"Besides charging, what other primary function does this cable perform?",Data,9a/9a7dc067.jpg
61OwsbW3c-L,What specific type of connector is on the computer/charger end?,USB,9a/9a7dc067.jpg
61OwsbW3c-L,What Apple device line is frequently mentioned for compatibility?,iPhone,9a/9a7dc067.jpg
61OwsbW3c-L,What characteristic is enhanced by the nylon braiding?,Durability,9a/9a7dc067.jpg
713x72YSvmL,What kind of accessory is the main object?,Hanger,26/26d03937.jpg
713x72YSvmL,What color is the mounting plate?,Black,26/26d03937.jpg
713x72YSvmL,How many screws are shown?,Three,26/26d03937.jpg
713x72YSvmL,What are the small white items?,Anchors,26/26d03937.jpg
713x72YSvmL,Is this item used for playing music?,No,26/26d03937.jpg
713x72YSvmL,What instrument part does the padded arm likely cradle?,Neck,26/26d03937.jpg
713x72YSvmL,Is this accessory designed for horizontal mounting?,No,26/26d03937.jpg
713x72YSvmL,What primary function does the padded arm provide besides support?,Protection,26/26d03937.jpg
713x72YSvmL,Are the provided screws included in the kit?,Yes,26/26d03937.jpg
713x72YSvmL,Is this object primarily for decoration or utility?,Utility,26/26d03937.jpg
61IqJw6XdcL,What type of jewelry is shown?,Earrings,8f/8fa6bc4d.jpg
61IqJw6XdcL,What shape are the earring fronts?,Hexagon,8f/8fa6bc4d.jpg
61IqJw6XdcL,What month is associated with the birthstone?,April,8f/8fa6bc4d.jpg
61IqJw6XdcL,What color is the metal setting?,Gold,8f/8fa6bc4d.jpg
61IqJw6XdcL,Are these earrings suitable as a gift?,Yes,8f/8fa6bc4d.jpg
61IqJw6XdcL,How many small stones surround the large center stone on one earring?,Eight,8f/8fa6bc4d.jpg
61IqJw6XdcL,Is a collection name provided in the text?,Yes,8f/8fa6bc4d.jpg
61IqJw6XdcL,Can these earrings be bought through mail order?,Yes,8f/8fa6bc4d.jpg
61IqJw6XdcL,Does the text describe the style as simple?,No,8f/8fa6bc4d.jpg
61IqJw6XdcL,Are these earrings mentioned as suitable for weddings?,Yes,8f/8fa6bc4d.jpg
71v6eobsGnL,What color is the main storage container?,Grey,b6/b61cc36d.jpg
71v6eobsGnL,How many accessory bags are shown in the image?,Two,b6/b61cc36d.jpg
71v6eobsGnL,Does the tall bin have handles?,Yes,b6/b61cc36d.jpg
71v6eobsGnL,Is the item identified as a laundry basket in the text?,Yes,b6/b61cc36d.jpg
71v6eobsGnL,What feature allows the smaller bags to be closed?,Drawstring,b6/b61cc36d.jpg
71v6eobsGnL,What specific fabric is listed in the product description?,Oxford,b6/b61cc36d.jpg
71v6eobsGnL,"According to the text, is this product designed to be portable?",Yes,b6/b61cc36d.jpg
71v6eobsGnL,Does the description mention the ability to collapse the main container?,Yes,b6/b61cc36d.jpg
71v6eobsGnL,"Besides laundry, what type of non-clothing items are mentioned for storage?",Sundries,b6/b61cc36d.jpg
71v6eobsGnL,Is the storage capacity described as large?,Yes,b6/b61cc36d.jpg
71Ag28YYwlL,What object is shown in the image?,case,58/583149e4.jpg
71Ag28YYwlL,What shape are the small patterns on the case?,heart,58/583149e4.jpg
71Ag28YYwlL,What is the main color of the phone case?,black,58/583149e4.jpg
71Ag28YYwlL,Are there any cutouts on the case?,yes,58/583149e4.jpg
71Ag28YYwlL,Are all the small shapes the same color?,no,58/583149e4.jpg
71Ag28YYwlL,How many distinct colors of hearts are visible?,four,58/583149e4.jpg
71Ag28YYwlL,What type of material is the case described as in the metadata?,silicone,58/583149e4.jpg
71Ag28YYwlL,What specific phone model is this case designed for according to the metadata?,vivo,58/583149e4.jpg
71Ag28YYwlL,Is there a pattern in the background behind the hearts?,yes,58/583149e4.jpg
71Ag28YYwlL,What brand is associated with this case in the metadata?,solimo,58/583149e4.jpg
91cfqemKVKL,1 What type of furniture is shown?,1 Sofa,fe/fe08cd6f.jpg
91cfqemKVKL,2 How many seat cushions does the sofa have?,2 Two,fe/fe08cd6f.jpg
91cfqemKVKL,3 What color is the sofa?,3 Grey,fe/fe08cd6f.jpg
91cfqemKVKL,4 Does the sofa have armrests?,4 Yes,fe/fe08cd6f.jpg
91cfqemKVKL,5 How many back cushions are on the sofa?,5 Two,fe/fe08cd6f.jpg
91cfqemKVKL,6 What material does the sofa appear to be made of?,6 Fabric,fe/fe08cd6f.jpg
91cfqemKVKL,7 Are the sofa legs visible?,7 Yes,fe/fe08cd6f.jpg
91cfqemKVKL,8 Does the sofa appear to be new?,8 Yes,fe/fe08cd6f.jpg
91cfqemKVKL,9 Is the back of the sofa straight or curved near the top?,9 Curved,fe/fe08cd6f.jpg
91cfqemKVKL,10 Does the sofa have distinct piping details?,10 Yes,fe/fe08cd6f.jpg
61kiBsqb2RL,What is the main object shown?,Case,35/35ae5157.jpg
61kiBsqb2RL,What is the base color of the case?,Black,35/35ae5157.jpg
61kiBsqb2RL,What animal design is on the case?,Cat,35/35ae5157.jpg
61kiBsqb2RL,What word is visible in the design?,MEOW,35/35ae5157.jpg
61kiBsqb2RL,What shape represents the cat's nose?,Heart,35/35ae5157.jpg
61kiBsqb2RL,What type of cover is this for a phone?,Back,35/35ae5157.jpg
61kiBsqb2RL,Is the phone case described as flexible?,Yes,35/35ae5157.jpg
61kiBsqb2RL,What brand is associated with the case?,Solimo,35/35ae5157.jpg
61kiBsqb2RL,Is the design printed on the cover?,Yes,35/35ae5157.jpg
61kiBsqb2RL,Is the case compatible with the Mi Redmi Note 7?,Yes,35/35ae5157.jpg
81Bnf5a+9QL,What type of lights are shown?,String,eb/eb5a9e7f.jpg
81Bnf5a+9QL,Are the lights multi-colored?,Yes,eb/eb5a9e7f.jpg
81Bnf5a+9QL,Is there a book in the image?,Yes,eb/eb5a9e7f.jpg
81Bnf5a+9QL,Are the lights on or off?,On,eb/eb5a9e7f.jpg
81Bnf5a+9QL,What surface are the lights resting on?,Wood,eb/eb5a9e7f.jpg
81Bnf5a+9QL,What is the approximate color of the book spine?,Pink,eb/eb5a9e7f.jpg
81Bnf5a+9QL,Is the lighting in the image bright or dim?,Dim,eb/eb5a9e7f.jpg
81Bnf5a+9QL,Are the lights tangled?,Yes,eb/eb5a9e7f.jpg
81Bnf5a+9QL,What is the primary color of the wall background?,White,eb/eb5a9e7f.jpg
81Bnf5a+9QL,Is the background textured?,Yes,eb/eb5a9e7f.jpg
71kllg8Vi5L,What type of accessory is pictured?,Case,f3/f37a3146.jpg
71kllg8Vi5L,What primary color is visible on the case?,Purple,f3/f37a3146.jpg
71kllg8Vi5L,Does the list indicate compatibility with Samsung phones?,Yes,f3/f37a3146.jpg
71kllg8Vi5L,Does the list indicate compatibility with Redmi phones?,Yes,f3/f37a3146.jpg
71kllg8Vi5L,Is the pattern on the case oriented vertically?,Yes,f3/f37a3146.jpg
71kllg8Vi5L,What kind of visual effect does the pattern on the case resemble?,Streaks,f3/f37a3146.jpg
71kllg8Vi5L,What Amazon brand name is mentioned in the list?,Solimo,f3/f37a3146.jpg
71kllg8Vi5L,"Besides 'case', what other common term for this item is in the list?",Cover,f3/f37a3146.jpg
71kllg8Vi5L,Is there a visible cutout for a rear camera flash?,Yes,f3/f37a3146.jpg
71kllg8Vi5L,Does the image show the front or back of the phone case?,Back,f3/f37a3146.jpg
91lTxtjauGL,How many pairs of scissors are displayed in the image?,Two,1c/1cc91b99.jpg
91lTxtjauGL,What brand name is written on the blades of the scissors?,Solimo,1c/1cc91b99.jpg
91lTxtjauGL,What color are the handles of the scissors?,Black,1c/1cc91b99.jpg
91lTxtjauGL,What type of tool is shown in the image?,Scissors,1c/1cc91b99.jpg
91lTxtjauGL,What color are the blades of the scissors?,Silver,1c/1cc91b99.jpg
91lTxtjauGL,What texture is present on the blade edge near the handle?,Serrated,1c/1cc91b99.jpg
91lTxtjauGL,Is there a bone notch visible on the blade?,Yes,1c/1cc91b99.jpg
91lTxtjauGL,Which large online retailer's brand is Solimo?,Amazon,1c/1cc91b99.jpg
91lTxtjauGL,What is the main category of use suggested by the keywords?,Kitchen,1c/1cc91b99.jpg
91lTxtjauGL,"Based on the image, are the scissors presented individually or as a group?",Set,1c/1cc91b99.jpg
613USCuVx6L,What object is shown in the image?,Case,45/45b2da96.jpg
613USCuVx6L,What is the dominant color of the phone case?,Black,45/45b2da96.jpg
613USCuVx6L,What color is the silhouette design on the case?,Teal,45/45b2da96.jpg
613USCuVx6L,What human body part is visible in the design?,Head,45/45b2da96.jpg
613USCuVx6L,Is the design located on the top or bottom half of the case?,Bottom,45/45b2da96.jpg
613USCuVx6L,How many camera cutouts are visible on the back of the case?,One,45/45b2da96.jpg
613USCuVx6L,Does the silhouette face towards the left or the right?,Right,45/45b2da96.jpg
613USCuVx6L,Are there floral elements included in the design?,Yes,45/45b2da96.jpg
613USCuVx6L,Is the background of the case plain or patterned?,Plain,45/45b2da96.jpg
613USCuVx6L,Is the entire back of the case covered by the teal design?,No,45/45b2da96.jpg
71HX-OV1cjL,What type of item is pictured?,Case,f4/f421180b.jpg
71HX-OV1cjL,How many figures are illustrated on the case?,Two,f4/f421180b.jpg
71HX-OV1cjL,What color are the word bubbles?,Orange,f4/f421180b.jpg
71HX-OV1cjL,What color is the hair of the person on the right?,Red,f4/f421180b.jpg
71HX-OV1cjL,Is this a hard case?,Yes,f4/f421180b.jpg
71HX-OV1cjL,What is the complete word in the bubbles?,Matriana,f4/f421180b.jpg
71HX-OV1cjL,What color shirt is the character on the left wearing?,Green,f4/f421180b.jpg
71HX-OV1cjL,What headwear is the character on the right wearing?,Hat,f4/f421180b.jpg
71HX-OV1cjL,Which brand of phone is this case likely for?,LG,f4/f421180b.jpg
71HX-OV1cjL,Is the case indicated as 3D printed?,Yes,f4/f421180b.jpg
71yi2yMkbkL,What is the main color of the adapters?,Black,0a/0a5dd393.jpg
71yi2yMkbkL,How many adapters are visible in the image?,Four,0a/0a5dd393.jpg
71yi2yMkbkL,What brand name is printed on the items?,AmazonBasics,0a/0a5dd393.jpg
71yi2yMkbkL,Are these items cables or adapters?,Adapters,0a/0a5dd393.jpg
71yi2yMkbkL,What type of connector is on the lighter-colored end?,USB-C,0a/0a5dd393.jpg
71yi2yMkbkL,How many distinct types of ports are present on each adapter?,Two,0a/0a5dd393.jpg
71yi2yMkbkL,What is the general function of these items for electronic ports?,Adapting,0a/0a5dd393.jpg
71yi2yMkbkL,Can these adapters potentially be used for device charging?,Yes,0a/0a5dd393.jpg
71yi2yMkbkL,Are there any attached cables shown with these adapters?,No,0a/0a5dd393.jpg
71yi2yMkbkL,What specific data port type is on the black side?,USB-A,0a/0a5dd393.jpg
61BGp11YSsL,What colour is the phone case?,Pink,4b/4bc8f3f8.jpg
61BGp11YSsL,What animal is pictured on the phone case?,Cat,4b/4bc8f3f8.jpg
61BGp11YSsL,What shape are the cat's glasses?,Heart,4b/4bc8f3f8.jpg
61BGp11YSsL,What word is written below the cat?,MEOW,4b/4bc8f3f8.jpg
61BGp11YSsL,What is the animal wearing on its head?,Bow,4b/4bc8f3f8.jpg
61BGp11YSsL,Which phone brand is this case designed for?,Redmi,4b/4bc8f3f8.jpg
61BGp11YSsL,What date is shown on the phone's display?,April,4b/4bc8f3f8.jpg
61BGp11YSsL,Is the phone case transparent according to the image?,No,4b/4bc8f3f8.jpg
61BGp11YSsL,What pattern surrounds the main animal on the case?,Hearts,4b/4bc8f3f8.jpg
61BGp11YSsL,Is the depicted phone case part of the Solimo brand?,Yes,4b/4bc8f3f8.jpg
71ZpXJ00r-L,What type of product is this?,Shampoo,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What is the main herb scent?,Mint,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What number is in the brand logo?,365,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What color is the bottle?,White,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What color is the plant illustration?,Green,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What abbreviation is used for ounces on the label?,FL,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What word is written in capital letters in the main title?,SHAMPOO,3f/3f8b1fe6.jpg
71ZpXJ00r-L,How many individual leaves are clearly visible in the plant image?,Five,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What ingredient is listed first in the small text description?,Glycine,3f/3f8b1fe6.jpg
71ZpXJ00r-L,What is the last word in the small text describing hair type?,Hair,3f/3f8b1fe6.jpg
71cj1O8cyuL,What is the main color of the sandal?,Silver,af/aff63eb8.jpg
71cj1O8cyuL,What kind of footwear is pictured?,Sandal,af/aff63eb8.jpg
71cj1O8cyuL,Does the sandal appear to have a heel?,No,af/aff63eb8.jpg
71cj1O8cyuL,Who is the sandal intended for?,Women,af/aff63eb8.jpg
71cj1O8cyuL,How many straps are on the top of the foot?,Three,af/aff63eb8.jpg
71cj1O8cyuL,What text is printed on the insole?,Flavia,af/aff63eb8.jpg
71cj1O8cyuL,What color is the bottom layer of the sole?,Brown,af/aff63eb8.jpg
71cj1O8cyuL,Is the front strap a thong or a toe ring?,Ring,af/aff63eb8.jpg
71cj1O8cyuL,What is the texture of the upper straps?,Shiny,af/aff63eb8.jpg
71cj1O8cyuL,How many layers make up the sole from the side?,Two,af/aff63eb8.jpg
71b4nq7cGmL,What object is in the image?,Case,7d/7d2c47b1.jpg
71b4nq7cGmL,Is this a back cover or a flip cover?,Back,7d/7d2c47b1.jpg
71b4nq7cGmL,What is the pattern on the phone case?,Lights,7d/7d2c47b1.jpg
71b4nq7cGmL,Name one color of the lights.,Red,7d/7d2c47b1.jpg
71b4nq7cGmL,What is the shape of the camera opening?,Rectangle,7d/7d2c47b1.jpg
71b4nq7cGmL,What type of lights are shown in the pattern?,String,7d/7d2c47b1.jpg
71b4nq7cGmL,Are the lights mostly in focus or out of focus?,Out,7d/7d2c47b1.jpg
71b4nq7cGmL,How many prominent strands of lights are visible?,Two,7d/7d2c47b1.jpg
71b4nq7cGmL,What is the main color of the lights on the left side?,Red,7d/7d2c47b1.jpg
71b4nq7cGmL,What kind of atmosphere does the design suggest?,Festive,7d/7d2c47b1.jpg
71PsFOrBc9L,What item is shown in the image?,Case,09/09b2f32f.jpg
71PsFOrBc9L,What animal is depicted on the case?,Lion,09/09b2f32f.jpg
71PsFOrBc9L,Is the design colorful?,Yes,09/09b2f32f.jpg
71PsFOrBc9L,What shape is the cutout for the fingerprint sensor?,Circle,09/09b2f32f.jpg
71PsFOrBc9L,Is there a cutout for cameras on the case?,Yes,09/09b2f32f.jpg
71PsFOrBc9L,What is the dominant style of the artwork?,Geometric,09/09b2f32f.jpg
71PsFOrBc9L,How many camera lenses does the cutout accommodate?,Two,09/09b2f32f.jpg
71PsFOrBc9L,What color is visible around the edges of the design?,White,09/09b2f32f.jpg
71PsFOrBc9L,Does the design appear to cover the whole back?,Yes,09/09b2f32f.jpg
71PsFOrBc9L,What is the animal looking towards?,Forward,09/09b2f32f.jpg
81Old0YmwcL,What is pictured?,Bulb,be/be13a32c.jpg
81Old0YmwcL,What brand is this product?,AmazonBasics,be/be13a32c.jpg
81Old0YmwcL,What is the wattage of the bulb?,35,be/be13a32c.jpg
81Old0YmwcL,Is this bulb for a vehicle?,Yes,be/be13a32c.jpg
81Old0YmwcL,Is this a Xenon lamp?,Yes,be/be13a32c.jpg
81Old0YmwcL,What is the specified base code?,PK32d-2,be/be13a32c.jpg
81Old0YmwcL,How many bulbs are in one package?,One,be/be13a32c.jpg
81Old0YmwcL,What gas creates the light?,Xenon,be/be13a32c.jpg
81Old0YmwcL,What component is integrated in the base?,Ballast,be/be13a32c.jpg
81Old0YmwcL,In what language is the description?,French,be/be13a32c.jpg
8178-W3z-5L,What main type of dessert is shown?,brownies,27/272a3055.jpg
8178-W3z-5L,How many brownies are clearly visible?,Eight,27/272a3055.jpg
8178-W3z-5L,What word is in the green circle?,Fresh,27/272a3055.jpg
8178-W3z-5L,What number is in the size description on the label?,Two,27/272a3055.jpg
8178-W3z-5L,What flavor does the color suggest?,Chocolate,27/272a3055.jpg
8178-W3z-5L,"Does the label text specify ""real""?",No,27/272a3055.jpg
8178-W3z-5L,Is this product likely found in a grocery section other than bakery or snack?,No,27/272a3055.jpg
8178-W3z-5L,"Is ""kosher"" printed on the main label?",No,27/272a3055.jpg
8178-W3z-5L,"Is ""fudge"" mentioned on the label?",No,27/272a3055.jpg
8178-W3z-5L,Is this product meant to be baked before eating?,No,27/272a3055.jpg
61VsKz3NwgL,What kind of jewelry is depicted?,Earrings,d5/d502c465.jpg
61VsKz3NwgL,How many earrings are shown?,Two,d5/d502c465.jpg
61VsKz3NwgL,What type of stone is in the earrings?,Diamond,d5/d502c465.jpg
61VsKz3NwgL,What color is the metal setting?,Silver,d5/d502c465.jpg
61VsKz3NwgL,How many prongs are holding one of the stones?,Six,d5/d502c465.jpg
61VsKz3NwgL,What style of earring back is visible?,Post,d5/d502c465.jpg
61VsKz3NwgL,What is the shape of the main gemstone?,Round,d5/d502c465.jpg
61VsKz3NwgL,Are these earrings designed for pierced ears?,Yes,d5/d502c465.jpg
61VsKz3NwgL,How would you classify the setting style?,Prong,d5/d502c465.jpg
61VsKz3NwgL,Are the earrings shown oriented identically?,No,d5/d502c465.jpg
81PyPfEdhoL,What is the main item in the image?,case,20/2028cb50.jpg
81PyPfEdhoL,What letter is on the case?,J,20/2028cb50.jpg
81PyPfEdhoL,What material does the case look like?,denim,20/2028cb50.jpg
81PyPfEdhoL,What color is the letter?,black,20/2028cb50.jpg
81PyPfEdhoL,What color is the strip above the denim part?,blue,20/2028cb50.jpg
81PyPfEdhoL,What brand is mentioned in the text for this type of product?,Solimo,20/2028cb50.jpg
81PyPfEdhoL,What type of device is this case for?,phone,20/2028cb50.jpg
81PyPfEdhoL,Is the case depicted as a front cover or a back cover?,back,20/2028cb50.jpg
81PyPfEdhoL,Does the image show a plain pattern or a pattern with a specific design element?,design,20/2028cb50.jpg
81PyPfEdhoL,What general category does this product fall under based on the text?,case,20/2028cb50.jpg
A1clguJEaaL,What item is draped over the chair?,Blanket,a3/a319e822.jpg
A1clguJEaaL,Is the item also known as a throw?,Throw,a3/a319e822.jpg
A1clguJEaaL,What color is the blanket?,Pink,a3/a319e822.jpg
A1clguJEaaL,Is the item a type of cover?,Cover,a3/a319e822.jpg
A1clguJEaaL,Is the item part of bedding?,Bedding,a3/a319e822.jpg
A1clguJEaaL,Is a machine used for cleaning this item?,Machine,a3/a319e822.jpg
A1clguJEaaL,What is the material of the floor?,Wood,a3/a319e822.jpg
A1clguJEaaL,Are the stripes on the blanket horizontal or vertical?,Horizontal,a3/a319e822.jpg
A1clguJEaaL,How many prominent light stripe bands are visible?,Six,a3/a319e822.jpg
A1clguJEaaL,Is the furniture item a bed?,No,a3/a319e822.jpg
61AiSHc02PL,What product is shown in the jars?,Marmalade,05/0595e548.jpg
61AiSHc02PL,What is the first word of the brand name?,Happy,05/0595e548.jpg
61AiSHc02PL,How many jars are visible in the image?,Two,05/0595e548.jpg
