id,question,answer,original_index,predicted_answer,ground_truth_normalized
81Bnf5a+9QL,Are the lights multi-colored?,Yes,171,yes,yes
81Bnf5a+9QL,Is there a book in the image?,Yes,172,yes,yes
81Bnf5a+9QL,Are the lights on or off?,On,173,off,on
81Bnf5a+9QL,What surface are the lights resting on?,Wood,174,wood,wood
81Bnf5a+9QL,What is the approximate color of the book spine?,Pink,175,brown,pink
81Bnf5a+9QL,Is the lighting in the image bright or dim?,Dim,176,bright,dim
81Bnf5a+9QL,Are the lights tangled?,Yes,177,yes,yes
81Bnf5a+9QL,What is the primary color of the wall background?,White,178,white,white
81Bnf5a+9QL,Is the background textured?,Yes,179,yes,yes
71kllg8Vi5L,What type of accessory is pictured?,Case,180,phone,case
71kllg8Vi5L,What primary color is visible on the case?,Purple,181,purple,purple
71kllg8Vi5L,Does the list indicate compatibility with Samsung phones?,Yes,182,no,yes
71kllg8Vi5L,Does the list indicate compatibility with Redmi phones?,Yes,183,yes,yes
71kllg8Vi5L,Is the pattern on the case oriented vertically?,Yes,184,yes,yes
71kllg8Vi5L,What kind of visual effect does the pattern on the case resemble?,Streaks,185,abstract,streaks
71kllg8Vi5L,What Amazon brand name is mentioned in the list?,Solimo,186,lg,solimo
71kllg8Vi5L,"Besides 'case', what other common term for this item is in the list?",Cover,187,phone,cover
71kllg8Vi5L,Is there a visible cutout for a rear camera flash?,Yes,188,yes,yes
71kllg8Vi5L,Does the image show the front or back of the phone case?,Back,189,front,back
91lTxtjauGL,How many pairs of scissors are displayed in the image?,Two,190,3,two
91lTxtjauGL,What brand name is written on the blades of the scissors?,Solimo,191,scissor,solimo
91lTxtjauGL,What color are the handles of the scissors?,Black,192,black,black
91lTxtjauGL,What type of tool is shown in the image?,Scissors,193,scissors,scissors
91lTxtjauGL,What color are the blades of the scissors?,Silver,194,black,silver
91lTxtjauGL,What texture is present on the blade edge near the handle?,Serrated,195,smooth,serrated
91lTxtjauGL,Is there a bone notch visible on the blade?,Yes,196,yes,yes
91lTxtjauGL,Which large online retailer's brand is Solimo?,Amazon,197,salon,amazon
91lTxtjauGL,What is the main category of use suggested by the keywords?,Kitchen,198,search engine,kitchen
91lTxtjauGL,"Based on the image, are the scissors presented individually or as a group?",Set,199,group,set
613USCuVx6L,What object is shown in the image?,Case,200,phone,case
613USCuVx6L,What is the dominant color of the phone case?,Black,201,black,black
613USCuVx6L,What color is the silhouette design on the case?,Teal,202,blue,teal
613USCuVx6L,What human body part is visible in the design?,Head,203,head,head
613USCuVx6L,Is the design located on the top or bottom half of the case?,Bottom,204,top,bottom
613USCuVx6L,How many camera cutouts are visible on the back of the case?,One,205,1,one
613USCuVx6L,Does the silhouette face towards the left or the right?,Right,206,left,right
613USCuVx6L,Are there floral elements included in the design?,Yes,207,yes,yes
613USCuVx6L,Is the background of the case plain or patterned?,Plain,208,patterned,plain
613USCuVx6L,Is the entire back of the case covered by the teal design?,No,209,no,no
71HX-OV1cjL,What type of item is pictured?,Case,210,phone,case
71HX-OV1cjL,How many figures are illustrated on the case?,Two,211,3,two
71HX-OV1cjL,What color are the word bubbles?,Orange,212,red,orange
71HX-OV1cjL,What color is the hair of the person on the right?,Red,213,blonde,red
71HX-OV1cjL,Is this a hard case?,Yes,214,yes,yes
71HX-OV1cjL,What is the complete word in the bubbles?,Matriana,215,happy,matriana
71HX-OV1cjL,What color shirt is the character on the left wearing?,Green,216,white,green
71HX-OV1cjL,What headwear is the character on the right wearing?,Hat,217,hat,hat
71HX-OV1cjL,Which brand of phone is this case likely for?,LG,218,samsung,lg
71HX-OV1cjL,Is the case indicated as 3D printed?,Yes,219,no,yes
71yi2yMkbkL,What is the main color of the adapters?,Black,220,black,black
71yi2yMkbkL,How many adapters are visible in the image?,Four,221,4,four
71yi2yMkbkL,What brand name is printed on the items?,AmazonBasics,222,nautilus,amazonbasics
71yi2yMkbkL,Are these items cables or adapters?,Adapters,223,yes,adapters
71yi2yMkbkL,What type of connector is on the lighter-colored end?,USB-C,224,usb,usbc
71yi2yMkbkL,How many distinct types of ports are present on each adapter?,Two,225,2,two
71yi2yMkbkL,What is the general function of these items for electronic ports?,Adapting,226,charging,adapting
71yi2yMkbkL,Can these adapters potentially be used for device charging?,Yes,227,yes,yes
71yi2yMkbkL,Are there any attached cables shown with these adapters?,No,228,no,no
71yi2yMkbkL,What specific data port type is on the black side?,USB-A,229,usb,usba
61BGp11YSsL,What colour is the phone case?,Pink,230,pink,pink
61BGp11YSsL,What animal is pictured on the phone case?,Cat,231,cat,cat
61BGp11YSsL,What shape are the cat's glasses?,Heart,232,hearts,heart
61BGp11YSsL,What word is written below the cat?,MEOW,233,meow,meow
61BGp11YSsL,What is the animal wearing on its head?,Bow,234,bow,bow
61BGp11YSsL,Which phone brand is this case designed for?,Redmi,235,samsung,redmi
61BGp11YSsL,What date is shown on the phone's display?,April,236,6 6,april
61BGp11YSsL,Is the phone case transparent according to the image?,No,237,no,no
61BGp11YSsL,What pattern surrounds the main animal on the case?,Hearts,238,hearts,hearts
61BGp11YSsL,Is the depicted phone case part of the Solimo brand?,Yes,239,yes,yes
71ZpXJ00r-L,What type of product is this?,Shampoo,240,hair gel,shampoo
71ZpXJ00r-L,What is the main herb scent?,Mint,241,mint,mint
71ZpXJ00r-L,What number is in the brand logo?,365,242,365,365
71ZpXJ00r-L,What color is the bottle?,White,243,white,white
71ZpXJ00r-L,What color is the plant illustration?,Green,244,green,green
71ZpXJ00r-L,What abbreviation is used for ounces on the label?,FL,245,350,fl
71ZpXJ00r-L,What word is written in capital letters in the main title?,SHAMPOO,246,pet,shampoo
71ZpXJ00r-L,How many individual leaves are clearly visible in the plant image?,Five,247,3,five
71ZpXJ00r-L,What ingredient is listed first in the small text description?,Glycine,248,vitaminwater,glycine
71ZpXJ00r-L,What is the last word in the small text describing hair type?,Hair,249,trim,hair
71cj1O8cyuL,What is the main color of the sandal?,Silver,250,white,silver
71cj1O8cyuL,What kind of footwear is pictured?,Sandal,251,sandals,sandal
71cj1O8cyuL,Does the sandal appear to have a heel?,No,252,no,no
71cj1O8cyuL,Who is the sandal intended for?,Women,253,woman,women
71cj1O8cyuL,How many straps are on the top of the foot?,Three,254,3,three
71cj1O8cyuL,What text is printed on the insole?,Flavia,255,flip flop,flavia
71cj1O8cyuL,What color is the bottom layer of the sole?,Brown,256,brown,brown
71cj1O8cyuL,Is the front strap a thong or a toe ring?,Ring,257,flip flop,ring
71cj1O8cyuL,What is the texture of the upper straps?,Shiny,258,smooth,shiny
71cj1O8cyuL,How many layers make up the sole from the side?,Two,259,2,two
71b4nq7cGmL,What object is in the image?,Case,260,phone,case
71b4nq7cGmL,Is this a back cover or a flip cover?,Back,261,flip phone,back
71b4nq7cGmL,What is the pattern on the phone case?,Lights,262,lights,lights
71b4nq7cGmL,Name one color of the lights.,Red,263,red,red
71b4nq7cGmL,What is the shape of the camera opening?,Rectangle,264,square,rectangle
71b4nq7cGmL,What type of lights are shown in the pattern?,String,265,christmas lights,string
71b4nq7cGmL,Are the lights mostly in focus or out of focus?,Out,266,out,out
71b4nq7cGmL,How many prominent strands of lights are visible?,Two,267,6,two
71b4nq7cGmL,What is the main color of the lights on the left side?,Red,268,blue,red
71b4nq7cGmL,What kind of atmosphere does the design suggest?,Festive,269,christmas,festive
71PsFOrBc9L,What item is shown in the image?,Case,270,phone,case
71PsFOrBc9L,What animal is depicted on the case?,Lion,271,lion,lion
71PsFOrBc9L,Is the design colorful?,Yes,272,yes,yes
71PsFOrBc9L,What shape is the cutout for the fingerprint sensor?,Circle,273,square,circle
71PsFOrBc9L,Is there a cutout for cameras on the case?,Yes,274,no,yes
71PsFOrBc9L,What is the dominant style of the artwork?,Geometric,275,abstract,geometric
71PsFOrBc9L,How many camera lenses does the cutout accommodate?,Two,276,2,two
71PsFOrBc9L,What color is visible around the edges of the design?,White,277,red,white
71PsFOrBc9L,Does the design appear to cover the whole back?,Yes,278,yes,yes
71PsFOrBc9L,What is the animal looking towards?,Forward,279,camera,forward
81Old0YmwcL,What is pictured?,Bulb,280,motorcycle,bulb
81Old0YmwcL,What brand is this product?,AmazonBasics,281,kenmore,amazonbasics
81Old0YmwcL,What is the wattage of the bulb?,35,282,10,35
81Old0YmwcL,Is this bulb for a vehicle?,Yes,283,yes,yes
81Old0YmwcL,Is this a Xenon lamp?,Yes,284,yes,yes
81Old0YmwcL,What is the specified base code?,PK32d-2,285,no,pk32d2
81Old0YmwcL,How many bulbs are in one package?,One,286,2,one
81Old0YmwcL,What gas creates the light?,Xenon,287,gas,xenon
81Old0YmwcL,What component is integrated in the base?,Ballast,288,light,ballast
81Old0YmwcL,In what language is the description?,French,289,english,french
8178-W3z-5L,What main type of dessert is shown?,brownies,290,cookies,brownies
8178-W3z-5L,How many brownies are clearly visible?,Eight,291,twelve,eight
8178-W3z-5L,What word is in the green circle?,Fresh,292,fresh,fresh
8178-W3z-5L,What number is in the size description on the label?,Two,293,2,two
8178-W3z-5L,What flavor does the color suggest?,Chocolate,294,chocolate,chocolate
8178-W3z-5L,"Does the label text specify ""real""?",No,295,no,no
8178-W3z-5L,Is this product likely found in a grocery section other than bakery or snack?,No,296,yes,no
8178-W3z-5L,"Is ""kosher"" printed on the main label?",No,297,no,no
8178-W3z-5L,"Is ""fudge"" mentioned on the label?",No,298,yes,no
8178-W3z-5L,Is this product meant to be baked before eating?,No,299,yes,no
61VsKz3NwgL,What kind of jewelry is depicted?,Earrings,300,diamond,earrings
61VsKz3NwgL,How many earrings are shown?,Two,301,2,two
61VsKz3NwgL,What type of stone is in the earrings?,Diamond,302,diamond,diamond
61VsKz3NwgL,What color is the metal setting?,Silver,303,silver,silver
61VsKz3NwgL,How many prongs are holding one of the stones?,Six,304,4,six
61VsKz3NwgL,What style of earring back is visible?,Post,305,diamond,post
61VsKz3NwgL,What is the shape of the main gemstone?,Round,306,heart,round
61VsKz3NwgL,Are these earrings designed for pierced ears?,Yes,307,yes,yes
61VsKz3NwgL,How would you classify the setting style?,Prong,308,diamond,prong
61VsKz3NwgL,Are the earrings shown oriented identically?,No,309,yes,no
81PyPfEdhoL,What is the main item in the image?,case,310,phone,case
81PyPfEdhoL,What letter is on the case?,J,311,j,j
81PyPfEdhoL,What material does the case look like?,denim,312,denim,denim
81PyPfEdhoL,What color is the letter?,black,313,black,black
81PyPfEdhoL,What color is the strip above the denim part?,blue,314,blue,blue
81PyPfEdhoL,What brand is mentioned in the text for this type of product?,Solimo,315,lg,solimo
81PyPfEdhoL,What type of device is this case for?,phone,316,phone,phone
81PyPfEdhoL,Is the case depicted as a front cover or a back cover?,back,317,back,back
81PyPfEdhoL,Does the image show a plain pattern or a pattern with a specific design element?,design,318,plain,design
81PyPfEdhoL,What general category does this product fall under based on the text?,case,319,camera,case
A1clguJEaaL,What item is draped over the chair?,Blanket,320,blanket,blanket
A1clguJEaaL,Is the item also known as a throw?,Throw,321,yes,throw
A1clguJEaaL,What color is the blanket?,Pink,322,pink,pink
A1clguJEaaL,Is the item a type of cover?,Cover,323,no,cover
A1clguJEaaL,Is the item part of bedding?,Bedding,324,no,bedding
A1clguJEaaL,Is a machine used for cleaning this item?,Machine,325,no,machine
A1clguJEaaL,What is the material of the floor?,Wood,326,wood,wood
A1clguJEaaL,Are the stripes on the blanket horizontal or vertical?,Horizontal,327,horizontal,horizontal
A1clguJEaaL,How many prominent light stripe bands are visible?,Six,328,5,six
A1clguJEaaL,Is the furniture item a bed?,No,329,no,no
61AiSHc02PL,What product is shown in the jars?,Marmalade,330,jars,marmalade
61AiSHc02PL,What is the first word of the brand name?,Happy,331,organic,happy
61AiSHc02PL,How many jars are visible in the image?,Two,332,2,two
61AiSHc02PL,What color are the lids of the jars?,Black,333,black,black
61AiSHc02PL,"Besides bergamot, what other fruit is mentioned on the label?",Orange,334,grapes,orange
61AiSHc02PL,What is the weight of one jar in grams?,530,335,5 oz,530
61AiSHc02PL,"According to the label, is this only orange marmalade?",No,336,yes,no
61AiSHc02PL,Is this marmalade described as gluten-free in the provided information?,Yes,337,yes,yes
61AiSHc02PL,Is this marmalade described as vegan in the provided information?,Yes,338,yes,yes
61AiSHc02PL,"Based on the provided information, what product category does this belong to?",Grocery,339,organic,grocery
A19Bg4DiwfL,What is the main color of the mat's surface?,Gray,340,gray,gray
A19Bg4DiwfL,What color are the edges of the mat?,Orange,341,orange,orange
A19Bg4DiwfL,Is the mat rectangular or circular?,Rectangular,342,rectangular,rectangular
A19Bg4DiwfL,Does the mat have a patterned surface?,Yes,343,yes,yes
A19Bg4DiwfL,Is the item pictured a mat or a flag?,Mat,344,mat,mat
A19Bg4DiwfL,"Based on the visible texture, what functional property might the mat have?",Non-slip,345,mat,nonslip
A19Bg4DiwfL,Could this type of mat be used in a commercial kitchen?,Yes,346,yes,yes
A19Bg4DiwfL,Does the visible surface pattern consist of straight lines?,Yes,347,yes,yes
A19Bg4DiwfL,Is the border color significantly different from the main surface color?,Yes,348,yes,yes
A19Bg4DiwfL,Is the visible side of the mat the top or the bottom surface?,Top,349,top,top
71sEFgOpHHL,What object is shown in the image?,Case,350,phone,case
71sEFgOpHHL,What shape is repeated in the pattern?,Circle,351,circles,circle
71sEFgOpHHL,What color are some of the large circles?,Yellow,352,purple,yellow
71sEFgOpHHL,Is the case patterned or plain?,Patterned,353,patterned,patterned
71sEFgOpHHL,What part of a phone does this cover?,Back,354,screen,back
71sEFgOpHHL,"According to the provided text, what type of case is mentioned?",Hard,355,cell phone case,hard
71sEFgOpHHL,"Based on the provided text, which phone manufacturer is mentioned the most?",LG,356,lg,lg
71sEFgOpHHL,"The pattern appears to have a visual effect; based on the text, what word related to manufacturing is used?",Printed,357,electric,printed
71sEFgOpHHL,"Based on the text provided, what brand is suggested for this case?",LG,358,samsung,lg
71sEFgOpHHL,What is another single word from the text that describes this object?,Cover,359,phone,cover
71Losy8n93L,What is this item?,Shoe,360,shoes,shoe
71Losy8n93L,What color is the shoe?,Black,361,black,black
71Losy8n93L,Does the shoe have stripes?,Yes,362,yes,yes
71Losy8n93L,Is the shoe open-toed?,No,363,yes,no
71Losy8n93L,Where is the sole located?,Bottom,364,on foot,bottom
71Losy8n93L,What material appears to be used on the front of the shoe?,Mesh,365,mesh,mesh
71Losy8n93L,How many distinct color stripes are stacked on the side of the shoe?,Two,366,3,two
71Losy8n93L,Is the brand name visible on the tag?,No,367,yes,no
71Losy8n93L,Is the shoe likely a boot?,No,368,no,no
71Losy8n93L,Are the stripes horizontal or vertical?,Horizontal,369,vertical,horizontal
61xdgd7EyDL,What is written on the handle?,SHAVE,370,kenmore,shave
61xdgd7EyDL,What type of item is shown?,Razor,371,hair brush,razor
61xdgd7EyDL,What is the primary color of the razor handle?,Black,372,black,black
61xdgd7EyDL,Does the razor have a blade cartridge?,Yes,373,yes,yes
61xdgd7EyDL,Is the background white?,Yes,374,yes,yes
61xdgd7EyDL,How many colors are on the handle?,Multiple,375,2,multiple
61xdgd7EyDL,How many blades are visible in the cartridge?,Five,376,4,five
61xdgd7EyDL,What shape is the logo next to the text?,Oval,377,square,oval
61xdgd7EyDL,Is the handle a solid or contoured design?,Contoured,378,curved,contoured
